filename	system
poems/poem_1.txt	tm4
poems/poem_2.txt	ccv
poems/poem_3.txt	tm16_40000
poems/poem_4.txt	chatgpt
poems/poem_5.txt	tm16_7500
poems/poem_6.txt	tm16_40000
poems/poem_7.txt	tm16_7500
poems/poem_8.txt	chatgpt
poems/poem_9.txt	ccv
poems/poem_10.txt	tm4
poems/poem_11.txt	chatgpt
poems/poem_12.txt	tm4
poems/poem_13.txt	tm16_7500
poems/poem_14.txt	ccv
poems/poem_15.txt	ccv
poems/poem_16.txt	tm4
poems/poem_17.txt	tm16_7500
poems/poem_18.txt	tm16_7500
poems/poem_19.txt	tm4
poems/poem_20.txt	chatgpt
poems/poem_21.txt	tm16_7500
poems/poem_22.txt	chatgpt
poems/poem_23.txt	tm16_40000
poems/poem_24.txt	chatgpt
poems/poem_25.txt	chatgpt
poems/poem_26.txt	tm4
poems/poem_27.txt	chatgpt
poems/poem_28.txt	ccv
poems/poem_29.txt	tm4
poems/poem_30.txt	ccv
poems/poem_31.txt	tm16_7500
poems/poem_32.txt	tm16_40000
poems/poem_33.txt	tm16_40000
poems/poem_34.txt	tm16_7500
poems/poem_35.txt	tm16_40000
poems/poem_36.txt	tm16_7500
poems/poem_37.txt	tm4
poems/poem_38.txt	tm16_40000
poems/poem_39.txt	tm16_40000
poems/poem_40.txt	ccv
poems/poem_41.txt	ccv
poems/poem_42.txt	tm16_40000
poems/poem_43.txt	tm4
poems/poem_44.txt	chatgpt
poems/poem_45.txt	ccv
poems/poem_46.txt	tm4
poems/poem_47.txt	tm16_7500
poems/poem_48.txt	ccv
poems/poem_49.txt	tm16_40000
poems/poem_50.txt	chatgpt
poems/poem_51.txt	tm16_7500
poems/poem_52.txt	tm4
poems/poem_53.txt	tm4
poems/poem_54.txt	tm16_40000
poems/poem_55.txt	ccv
poems/poem_56.txt	ccv
poems/poem_57.txt	ccv
poems/poem_58.txt	chatgpt4
poems/poem_59.txt	tm4
poems/poem_60.txt	tm4
poems/poem_61.txt	ccv
poems/poem_62.txt	tm16_7500
poems/poem_63.txt	tm16_7500
poems/poem_64.txt	tm4
poems/poem_65.txt	ccv
poems/poem_66.txt	chatgpt4
poems/poem_67.txt	ccv
poems/poem_68.txt	tm16_40000
poems/poem_69.txt	tm16_40000
poems/poem_70.txt	tm16_7500
poems/poem_71.txt	chatgpt4
poems/poem_72.txt	tm16_40000
poems/poem_73.txt	tm16_7500
poems/poem_74.txt	chatgpt4
poems/poem_75.txt	ccv
poems/poem_76.txt	chatgpt4
poems/poem_77.txt	chatgpt4
poems/poem_78.txt	tm16_40000
poems/poem_79.txt	tm4
poems/poem_80.txt	tm16_7500
poems/poem_81.txt	ccv
poems/poem_82.txt	tm4
poems/poem_83.txt	tm4
poems/poem_84.txt	tm4
poems/poem_85.txt	chatgpt4
poems/poem_86.txt	tm4
poems/poem_87.txt	tm16_40000
poems/poem_88.txt	tm16_40000
poems/poem_89.txt	ccv
poems/poem_90.txt	tm16_40000
poems/poem_91.txt	chatgpt4
poems/poem_92.txt	tm16_40000
poems/poem_93.txt	chatgpt4
poems/poem_94.txt	ccv
poems/poem_95.txt	tm16_7500
poems/poem_96.txt	tm16_7500
poems/poem_97.txt	tm16_7500
poems/poem_98.txt	tm16_40000
poems/poem_99.txt	chatgpt4
poems/poem_100.txt	tm16_7500
