filename	KH_syntax	KH_meaning	KH_rhyming	KH_metrum	KH_unknown_words	KH_overall
poems/poem_1.txt	8	6	10	8	9	7
poems/poem_2.txt	10	10	10	8	10	10
poems/poem_3.txt	7	5	9	7	8	6
poems/poem_4.txt	10	10	8	7	10	9
poems/poem_5.txt	7	3	10	6	8	5
poems/poem_6.txt	6	7	7	6	7	6
poems/poem_7.txt	7	6	5	8	10	7
poems/poem_8.txt	8	8	7	7	10	8
poems/poem_9.txt	9	8	10	8	10	9
poems/poem_10.txt	5	4	6	7	5	5
poems/poem_11.txt	10	9	8	9	10	9
poems/poem_12.txt	5	4	7	6	7	5
poems/poem_13.txt	9	9	10	9	10	9
poems/poem_14.txt	9	9	10	8	9	8
poems/poem_15.txt	10	8	10	9	9	8
poems/poem_16.txt	6	6	9	6	8	6
poems/poem_17.txt	8	4	7	6	6	6
poems/poem_18.txt	6	6	5	7	9	5
poems/poem_19.txt	6	4	5	6	6	5
poems/poem_20.txt	10	8	9	10	10	8
poems/poem_21.txt	9	7	9	7	8	7
poems/poem_22.txt	10	10	9	9	10	9
poems/poem_23.txt	8	6	10	6	7	7
poems/poem_24.txt	10	9	8	7	8	8
poems/poem_25.txt	10	9	10	9	10	9
poems/poem_26.txt	9	5	10	6	8	6
poems/poem_27.txt	10	10	9	8	9	10
poems/poem_28.txt	10	10	8	8	10	10
poems/poem_29.txt	8	6	8	7	7	7
poems/poem_30.txt	10	9	9	7	9	9
poems/poem_31.txt	8	8	8	9	8	8
poems/poem_32.txt	6	9	9	8	8	7
poems/poem_33.txt	5	8	8	7	6	5
poems/poem_34.txt	6	7	5	6	5	6
poems/poem_35.txt	5	8	10	5	5	6
poems/poem_36.txt	6	8	8	8	9	7
poems/poem_37.txt	7	8	8	8	8	7
poems/poem_38.txt	6	7	6	7	8	6
poems/poem_39.txt	8	9	10	8	9	8
poems/poem_40.txt	9	10	10	10	9	9
poems/poem_41.txt	8	8	9	9	10	8
poems/poem_42.txt	8	8	9	6	10	8
poems/poem_43.txt	6	9	8	7	9	7
poems/poem_44.txt	9	10	9	8	9	9
poems/poem_45.txt	10	10	9	8	10	10
poems/poem_46.txt	8	9	8	6	6	7
poems/poem_47.txt	8	7	10	6	8	8
poems/poem_48.txt	9	10	10	7	10	9
poems/poem_49.txt	8	8	9	9	7	7
poems/poem_50.txt	10	10	8	8	9	9
poems/poem_51.txt	8	7	10	6	9	8
poems/poem_52.txt	7	5	8	7	6	5
poems/poem_53.txt	5	3	8	5	8	3
poems/poem_54.txt	4	6	7	6	7	5
poems/poem_55.txt	10	9	10	7	10	9
poems/poem_56.txt	10	10	6	9	10	8
poems/poem_57.txt	10	10	10	7	10	10
poems/poem_58.txt	9	10	7	7	10	8
poems/poem_59.txt	9	8	10	8	8	7
poems/poem_60.txt	7	9	7	8	6	7
poems/poem_61.txt	9	10	9	7	10	9
poems/poem_62.txt	6	7	9	8	9	7
poems/poem_63.txt	6	7	8	7	9	7
poems/poem_64.txt	8	7	9	8	8	7
poems/poem_65.txt	9	10	10	6	9	9
poems/poem_66.txt	9	10	3	8	10	9
poems/poem_67.txt	10	9	10	6	8	9
poems/poem_68.txt	7	8	8	7	10	7
poems/poem_69.txt	7	5	7	7	6	5
poems/poem_70.txt	7	6	6	6	10	6
poems/poem_71.txt	9	10	8	8	10	9
poems/poem_72.txt	6	4	8	5	8	5
poems/poem_73.txt	6	4	8	8	8	5
poems/poem_74.txt	10	9	10	9	10	9
poems/poem_75.txt	10	9	10	6	9	9
poems/poem_76.txt	9	10	6	8	10	8
poems/poem_77.txt	10	10	3	7	10	8
poems/poem_78.txt	4	3	9	7	9	3
poems/poem_79.txt	5	3	8	5	4	3
poems/poem_80.txt	4	4	10	7	7	5
poems/poem_81.txt	9	9	10	8	10	9
poems/poem_82.txt	7	6	10	7	9	6
poems/poem_83.txt	8	5	9	8	8	5
poems/poem_84.txt	4	4	8	6	10	4
poems/poem_85.txt	8	8	8	6	10	7
poems/poem_86.txt	4	2	8	7	4	2
poems/poem_87.txt	5	7	10	7	10	6
poems/poem_88.txt	4	4	9	6	7	4
poems/poem_89.txt	10	9	10	6	10	9
poems/poem_90.txt	6	6	6	5	5	5
poems/poem_91.txt	9	10	8	7	10	8
poems/poem_92.txt	8	5	7	5	8	5
poems/poem_93.txt	9	8	10	9	9	8
poems/poem_94.txt	10	10	10	8	10	9
poems/poem_95.txt	8	7	9	6	8	7
poems/poem_96.txt	8	6	8	8	9	7
poems/poem_97.txt	9	8	9	6	10	8
poems/poem_98.txt	7	8	7	6	8	8
poems/poem_99.txt	10	10	10	8	10	9
poems/poem_100.txt	6	6	9	6	8	5
